"$validation_var";".wx.1.id";".wx.2.ip";".wx.3.experimental_condition";".wx.4.start_time";".wx.5.start_date";".wx.6.end_time";".wx.7.end_date";".wx.8.session_length";".wx.page_trail";".wx.pages_visited";".wx.user_agent";"age";"big_A10";"big_A19";"big_A24";"big_A38";"big_Ar11";"big_Ar30";"big_Ar37";"big_C07";"big_C08";"big_C14";"big_C26";"big_C31";"big_Cr20";"big_Cr21";"big_Cr29";"big_Cr34";"big_Cr39";"big_E05";"big_E06";"big_E16";"big_E18";"big_E40";"big_Er13";"big_Er27";"big_Er32";"big_Er41";"big_N02";"big_N09";"big_N22";"big_N33";"big_N36";"big_Nr03";"big_Nr12";"big_Nr28";"big_O04";"big_O17";"big_Or01";"big_Or15";"big_Or23";"big_Or25";"big_Or35";"edu";"fav_device";"fbclid";"gender";"inc_cur";"income";"occ";"os_pref";"os_use";"quit_early";"rt_1";"rt_2";"rt_3";"rt_4";"rt_5";"rt_6";"seriousness";"so";"tech_interest";"validation_kicked_in_2";"vas_ar";"vi_1";"vi_2";"vi_3";"vi_4";"vi_5";"vi_6";"z0_browser_screen_h";"z0_browser_screen_w";
"";"28759";"134.34.7.63";"";"11:21:22";"03/14/24";"11:21:22";"03/14/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";"34173";"134.34.7.63";"";"16:39:18";"03/20/24";"16:39:18";"03/20/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"fb";"";"";"";"";"";"";"";"";"";"";"";
"";"76476";"172.212.161.199";"";"17:09:59";"03/20/24";"17:09:59";"03/20/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"fb";"";"";"";"";"";"";"";"";"";"";"";
"";"68763";"172.212.161.199";"";"17:09:59";"03/20/24";"17:09:59";"03/20/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"x";"";"";"";"";"";"";"";"";"";"";"";
"";"99946";"172.212.161.199";"";"17:09:59";"03/20/24";"17:09:59";"03/20/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ig";"";"";"";"";"";"";"";"";"";"";"";
"";"80979";"217.198.245.134";"";"18:00:24";"03/20/24";"18:00:24";"03/20/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"fb";"";"";"";"";"";"";"";"";"";"";"";
"";"25855";"31.13.127.3";"";"03:17:57";"03/21/24";"03:18:29";"03/21/24";"32";"start.html - start.html";"2";"Mozilla/5.0 (Linux; Android 12; TECNO BF6 Build/SP1A.210812.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Mobile Safari/537.36 [FBAN/AudienceNetworkForWindows;FBDV/TECNO BF6;FBSV/12;FBAV/397.0.0.11.117;FBLC/en_US]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IwAR1H4b5RyA3bZeu3gpMD3VVgmDjZjshBYZ080Xe6bi-WQ-dbzkDOwEUpJSA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ig";"";"";"";"";"";"";"";"";"";"";"";
"";"80743";"172.173.214.111";"";"08:28:16";"03/21/24";"08:28:16";"03/21/24";"0";"start.html";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"jk";"";"";"";"";"";"";"";"";"";"";"";
"0";"87152";"104.28.45.21";"89LIK";"14:50:43";"03/21/24";"14:58:05";"03/21/24";"442";"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html";"7";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Safari/605.1.15";"55";"5";"4";"5";"4";"5";"4";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"5";"1";"4";"2";"3";"3";"2";"2";"1";"3";"3";"2";"2";"2";"2";"3";"3";"2";"3";"3";"4";"4";"4";"3";"3";"03";"iPAD";"";"woman";"euro";"6000";"01";"mac";"mac";"";"54114";"";"61562";"67975";"60733";"95748";"participate";"ig";"82";"0";"64";"1";"";"1";"1";"1";"1";"1194";"834";
"1";"27892";"176.7.143.50";"74VAS";"15:23:44";"03/21/24";"15:28:15";"03/21/24";"271";"start.html - 148.html - 270.html - 392.html - 469.html - demosend.html - thank.html";"7";"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1";"27";"4.7";"3.8";"4.1";"4.2";"3";"4";"4.3";"4";"3.7";"3.6";"3.9";"2.6";"3.6";"3.7";"2.1";"3.2";"3.5";"1.6";"4.5";"3.5";"3";"3.3";"1.8";"2.2";"3.2";"3";"3.5";"2.3";"3.8";"2.5";"3";"3.4";"3";"2";"4.3";"2.4";"3.5";"4.3";"4";"4.3";"4.4";"05";"Iphone";"";"woman";"euro";"3800";"01";"mac";"mac";"";"22706";"";"59211";"44671";"41411";"50925";"participate";"ig";"23";"0";"57";"1";"";"1";"1";"1";"1";"812";"375";
